date,temperature,wind_speed
2017-05-09,23.23,3.99
2017-05-10,21.92,5.25
2017-05-11,19.72,4.82
2017-05-12,22.85,4.1
2017-05-13,20.47,4.6
2017-05-14,23.43,4.32
2017-05-15,20.53,4.14
2017-05-16,25.35,5.36
2017-05-17,20.57,5.92
2017-05-18,21.37,4.34
2017-05-19,23.51,5.39
2017-05-20,19.3,4.85
2017-05-21,22.09,5.0
2017-05-22,24.12,5.01
2017-05-23,18.15,4.95
2017-05-24,21.6,5.47
2017-05-25,21.62,5.1
2017-05-26,22.52,5.71
2017-05-27,18.35,5.62
2017-05-28,18.04,5.59
2017-05-29,21.58,5.32
2017-05-30,20.99,5.55
2017-05-31,20.75,6.28
2017-06-01,20.79,6.21
2017-06-02,18.59,5.53
2017-06-03,20.26,6.13
2017-06-04,20.23,6.51
2017-06-05,18.07,5.36
2017-06-06,23.07,6.52
2017-06-07,20.13,5.97
2017-06-08,16.64,6.64
2017-06-09,20.18,6.02
2017-06-10,16.76,5.55
2017-06-11,20.12,5.68
2017-06-12,20.7,6.57
2017-06-13,16.58,6.71
2017-06-14,19.98,6.17
2017-06-15,18.72,6.98
2017-06-16,19.37,5.87
2017-06-17,21.35,6.7
2017-06-18,16.9,6.17
2017-06-19,15.72,6.48
2017-06-20,15.28,6.85
2017-06-21,15.26,6.43
2017-06-22,16.56,6.69
2017-06-23,17.23,7.41
2017-06-24,16.93,6.64
2017-06-25,17.86,7.36
2017-06-26,16.06,6.39
2017-06-27,18.77,7.24
2017-06-28,15.16,7.7
2017-06-29,20.96,5.75
2017-06-30,16.6,6.6
2017-07-01,13.46,7.29
2017-07-02,12.86,6.9
2017-07-03,15.79,7.18
2017-07-04,14.21,6.69
2017-07-05,15.91,7.03
2017-07-06,15.26,6.9
2017-07-07,13.99,7.55
2017-07-08,12.27,7.08
2017-07-09,10.76,7.11
2017-07-10,12.73,6.72
2017-07-11,15.17,6.66
2017-07-12,13.71,6.67
2017-07-13,10.62,7.05
2017-07-14,13.29,6.62
2017-07-15,13.55,6.95
2017-07-16,10.84,7.81
2017-07-17,12.75,7.17
2017-07-18,12.39,6.54
2017-07-19,9.82,7.27
2017-07-20,12.66,6.42
2017-07-21,12.9,5.57
2017-07-22,13.78,6.04
2017-07-23,13.56,5.56
2017-07-24,8.54,6.27
2017-07-25,9.26,6.41
2017-07-26,12.0,7.19
2017-07-27,11.84,6.46
2017-07-28,11.69,6.14
2017-07-29,18.21,6.61
2017-07-30,11.49,5.03
2017-07-31,12.47,6.2
2017-08-01,11.96,6.41
2017-08-02,11.2,5.22
2017-08-03,9.12,6.47
2017-08-04,11.12,6.01
2017-08-05,7.92,5.57
2017-08-06,8.85,6.03
2017-08-07,8.21,6.78
2017-08-08,9.2,5.67
2017-08-09,13.53,5.64
2017-08-10,5.03,5.22
2017-08-11,10.0,4.95
2017-08-12,5.27,5.72
2017-08-13,7.42,4.81
2017-08-14,10.42,5.21
2017-08-15,8.24,4.86
2017-08-16,5.83,5.27
2017-08-17,6.44,5.13
2017-08-18,9.11,5.42
2017-08-19,6.17,4.57
2017-08-20,7.95,4.62
2017-08-21,7.49,4.2
2017-08-22,5.99,4.4
2017-08-23,11.47,4.74
2017-08-24,8.34,4.87
2017-08-25,2.92,3.96
2017-08-26,7.24,4.79
2017-08-27,5.45,4.97
2017-08-28,8.38,4.43
2017-08-29,4.99,5.1
2017-08-30,6.26,3.71
2017-08-31,7.41,3.42
2017-09-01,8.04,3.09
2017-09-02,3.83,4.67
2017-09-03,5.48,4.19
2017-09-04,5.12,3.78
2017-09-05,4.68,3.89
2017-09-06,9.45,3.14
2017-09-07,6.66,4.87
2017-09-08,3.26,3.66
2017-09-09,7.55,3.6
2017-09-10,9.89,3.87
2017-09-11,7.65,3.7
2017-09-12,2.49,3.53
2017-09-13,4.51,2.98
2017-09-14,7.96,3.57
2017-09-15,3.96,4.24
2017-09-16,6.22,3.93
2017-09-17,6.84,4.03
2017-09-18,3.4,2.94
2017-09-19,5.09,2.67
2017-09-20,-1.3,3.08
2017-09-21,3.1,3.15
2017-09-22,4.62,3.64
2017-09-23,2.6,2.23
2017-09-24,8.34,3.82
2017-09-25,2.19,2.96
2017-09-26,4.16,2.82
2017-09-27,5.29,2.51
2017-09-28,7.9,2.18
2017-09-29,2.13,3.42
2017-09-30,7.33,3.04
2017-10-01,5.02,2.36
2017-10-02,3.04,2.35
2017-10-03,5.93,2.84
2017-10-04,5.41,3.85
2017-10-05,3.82,2.89
2017-10-06,5.18,2.28
2017-10-07,4.28,2.92
2017-10-08,5.3,2.92
2017-10-09,6.42,1.73
2017-10-10,8.29,3.07
2017-10-11,2.67,3.0
2017-10-12,9.45,3.49
2017-10-13,1.31,4.09
2017-10-14,4.95,3.76
2017-10-15,6.47,3.09
2017-10-16,5.9,2.71
2017-10-17,4.13,4.58
2017-10-18,5.01,3.36
2017-10-19,4.49,3.38
2017-10-20,4.35,3.4
2017-10-21,7.29,3.56
2017-10-22,6.36,3.43
2017-10-23,4.33,3.26
2017-10-24,7.58,3.32
2017-10-25,6.46,3.63
2017-10-26,7.54,3.43
2017-10-27,7.25,3.4
2017-10-28,4.41,3.86
2017-10-29,5.03,3.74
2017-10-30,7.72,4.67
2017-10-31,7.53,2.65
2017-11-01,6.36,4.59
2017-11-02,6.72,4.72
2017-11-03,9.13,3.13
2017-11-04,5.49,4.06
2017-11-05,7.86,4.11
2017-11-06,6.47,3.65
2017-11-07,6.54,4.03
2017-11-08,9.27,3.93
2017-11-09,8.83,5.43
2017-11-10,8.92,5.09
2017-11-11,10.01,5.33
2017-11-12,7.56,5.12
2017-11-13,8.99,4.26
2017-11-14,7.13,4.63
2017-11-15,8.52,5.21
2017-11-16,7.73,4.42
2017-11-17,8.31,5.46
2017-11-18,9.43,5.05
2017-11-19,6.73,5.05
2017-11-20,12.68,5.66
2017-11-21,6.62,5.6
2017-11-22,6.34,5.26
2017-11-23,11.22,6.09
2017-11-24,10.62,5.04
2017-11-25,10.43,5.95
2017-11-26,10.58,6.01
2017-11-27,9.44,5.62
2017-11-28,7.81,6.0
2017-11-29,9.9,5.27
2017-11-30,8.55,6.42
2017-12-01,12.0,5.93
2017-12-02,9.91,5.82
2017-12-03,8.7,6.66
2017-12-04,9.86,5.84
2017-12-05,11.49,5.54
2017-12-06,9.69,5.52
2017-12-07,9.33,6.65
2017-12-08,11.62,5.76
2017-12-09,11.78,7.33
2017-12-10,10.44,5.46
2017-12-11,10.67,7.39
2017-12-12,12.24,6.69
2017-12-13,9.05,6.58
2017-12-14,9.29,6.39
2017-12-15,10.84,6.9
2017-12-16,12.01,6.72
2017-12-17,13.23,7.32
2017-12-18,15.73,6.86
2017-12-19,14.66,6.91
2017-12-20,12.79,6.68
2017-12-21,13.24,6.85
2017-12-22,11.45,7.06
2017-12-23,13.59,6.07
2017-12-24,13.22,6.27
2017-12-25,14.61,7.33
2017-12-26,12.48,7.06
2017-12-27,15.35,6.89
2017-12-28,17.55,7.0
2017-12-29,14.44,7.17
2017-12-30,15.63,6.73
2017-12-31,16.38,6.61
